,product,brand,weight,links,price,price_gr,nutritions,photo_link
88,Eistraum Schoko - 89g,Biovegan,- 89g,https://kokku-online.de/biovegan-eistraum-schoko/,2.89 €,3.25€/100g,"Brennwert1634 kJ / 387 kcalFett4,2g- davon gesättigte Fettsäuren2,7gKohlenhydrate80g- davon Zucker74gEiweiß2,0gSalz< 0,03g",https://kokku-online.de//bilder/350x350/17673/biovegan-eistraum-schoko.auto
89,Eistraum Vanille - 77g,Biovegan,- 77g,https://kokku-online.de/biovegan-eistraum-vanille/,2.89 €,3.75€/100g,"Brennwert1554 kJ / 367 kcalFett< 0.5g- davon gesättigte Fettsäuren< 0.1gKohlenhydrate86g- davon Zucker80gEiweiß< 0,5gSalz0,08g",https://kokku-online.de//bilder/350x350/17674/biovegan-eistraum-vanille.auto
90,Feine Bitter 71% - 100g,Vivani,- 100g,https://kokku-online.de/vivani-feine-bitter-71/,1.99 €,1.99€/100g,Brennwert2425 kJ / 585 kcalFett44.9g- davon gesättigte Fettsäuren28.3gKohlenhydrate32.5g- davon Zucker27gEiweiß7gSalz< 0.02g,https://kokku-online.de//bilder/350x350/19071/vivani-feine-bitter-71.auto
91,Bio Trink Porridge °Himbeer Vanille° - 50g,RUF,- 50g,https://kokku-online.de/ruf-bio-trink-porridge-himbeer-vanille/,1.19 €,2.38€/100g,Brennwert1502 kJ / 357 kcalFett6.1g- davon gesättigte Fettsäuren1.1gKohlenhydrate57g- davon Zucker7.4gEiweiß12gSalz0.02g,https://kokku-online.de//bilder/350x350/16392/ruf-bio-trink-porridge-himbeer-vanille.auto
92,Bio Trink Porridge °Mango Curcuma° - 50g,RUF,- 50g,https://kokku-online.de/ruf-bio-trink-porridge-mango-curcuma/,1.19 €,2.38€/100g,Brennwert1542 kJ / 366 kcalFett6.3g- davon gesättigte Fettsäuren1.2gKohlenhydrate61g- davon Zucker11gEiweiß12gSalz0.03g,https://kokku-online.de//bilder/350x350/16393/ruf-bio-trink-porridge-mango-curcuma.auto
93,Bio Trink Porridge °Erdbeer Heidelbeer° - 50g,RUF,- 50g,https://kokku-online.de/ruf-bio-trink-porridge-erdbeer-heidelbeer/,1.19 €,2.38€/100g,Brennwert1545 kJ / 367 kcalFett6.4g- davon gesättigte Fettsäuren1.1gKohlenhydrate60g- davon Zucker9.3gEiweiß12gSalz0.02g,https://kokku-online.de//bilder/350x350/17079/ruf-bio-trink-porridge-erdbeer-heidelbeer.auto
94,Lubsies Dunkle Schokolade - 54g,Lubs,- 54g,https://kokku-online.de/lubs-lubsies-dunkle-schokolade/,1.99 €,3.69€/100g,"Brennwert1948 kJ / 467 kcalFett26g- davon gesättigte Fettsäuren9,3gKohlenhydrate47g- davon Zucker42gEiweiß6,8gSalz0,04g",https://kokku-online.de//bilder/350x350/16749/lubs-lubsies-dunkle-schokolade.auto
95,Zartbitter GanzNuss Schokolade - 100g,Vivani,- 100g,https://kokku-online.de/vivani-zartbitter-ganznuss-schokolade/,2.29 €,2.29€/100g,Brennwert2419 kJ / 583 kcalFett42.6g- davon gesättigte Fettsäuren18.9gKohlenhydrate38.2g- davon Zucker32.1gEiweiß7.4gSalz<0.01g,https://kokku-online.de//bilder/350x350/16698/vivani-zartbitter-ganznuss-schokolade.auto
96,Dunkle Nougat Schokolade - 100g,Vivani,- 100g,https://kokku-online.de/vivani-dunkle-nougat-schokolade/,2.29 €,2.29€/100g,Brennwert2419 kJ / 582 kcalFett40.9g- davon gesättigte Fettsäuren17gKohlenhydrate43.9g- davon Zucker38.6gEiweiß6.3gSalz< 0.01g,https://kokku-online.de//bilder/350x350/19070/vivani-dunkle-nougat-schokolade.auto
97,Feine Bitter Caramel Crisp & Meersalz - 80g,Vivani,- 80g,https://kokku-online.de/vivani-feine-bitter-caramel-mallorca-flor-de-sal-62-cacao/,2.49 €,3.11€/100g,Brennwert2371 kJ / 570 kcalFett39.8g- davon gesättigte Fettsäuren25.1gKohlenhydrate45.1g- davon Zucker41.6gEiweiß4.4gSalz0.66g,https://kokku-online.de//bilder/350x350/16413/vivani-feine-bitter-caramel-mallorca-flor-de-sal-62-cacao.auto
