,links,price,price_gr,nutritions,photo_link
478,https://kokku-online.de/topas-wheaty-spacebar-chorizo/,1.19 €,2.98€/100g,"Brennwert1035 kJ / 247 kcalFett11,2g- davon gesättigte Fettsäuren9,3gKohlenhydrate5,9g- davon Zucker2,9gEiweiß29,0gSalz1,8g",https://kokku-online.de//bilder/350x350/18766/topas-wheaty-spacebar-chorizo.auto
479,https://kokku-online.de/vantastic-foods-soy-jerky-roasted/,2.99 €,4.27€/100g,"Brennwert1180 kJ / 280 kcalFett7,6g- davon gesättigte Fettsäuren5,3gKohlenhydrate31g- davon Zucker30gEiweiß20gSalz2,00g",https://kokku-online.de//bilder/350x350/18422/vantastic-foods-soy-jerky-roasted.auto
480,https://kokku-online.de/vantastic-foods-schakalode-original-monsters/,3.59 €,3.59€/100g,"Brennwert2219 kJ / 530 kcalFett33g- davon gesättigte Fettsäuren21gKohlenhydrate60g- davon Zucker48gEiweiß2gSalz0,25g",https://kokku-online.de//bilder/350x350/9091/vantastic-foods-schakalode-original-monsters.auto
481,https://kokku-online.de/vantastic-foods-soy-jerky-teriyaki/,2.99 €,4.27€/100g,"Brennwert1168 kJ / 278 kcalFett7,6g- davon gesättigte Fettsäuren5,2gKohlenhydrate31g- davon Zucker31gEiweiß19gSalz1,43g",https://kokku-online.de//bilder/350x350/18421/vantastic-foods-soy-jerky-teriyaki.auto
482,https://kokku-online.de/rosengarten-hanf-splitter/,3.49 €,3.88€/100g,"Brennwert2350 kJ / 565 kcalFett37,2g- davon gesättigte Fettsäuren17,3gKohlenhydrate44,2g- davon Zucker22,6gEiweiß10,3gSalz0,03g",https://kokku-online.de//bilder/350x350/18940/rosengarten-hanf-splitter.auto
483,https://kokku-online.de/bernsteinzimmer-18er-konfekt-eure-lieblinge/,28.99 €,16.11€/100g,"Brennwert2413,1 kJ / 576,7 kcalFett41,0g- davon gesättigte Fettsäuren14,0gKohlenhydrate41,4g- davon Zucker36,5gEiweiß8,3gSalz0,29g",https://kokku-online.de//bilder/350x350/18654/bernsteinzimmer-18er-konfekt-eure-lieblinge.auto
484,https://kokku-online.de/mimis-garden-nut-butter-balls-erdnuss-und-meersalz/,2.49 €,6.23€/100g,"Brennwert1536 kJ / 366 kcalFett11,5g- davon gesättigte Fettsäuren4,7gKohlenhydrate55,8g- davon Zucker52,1gEiweiß5,5gSalz0,05g",https://kokku-online.de//bilder/350x350/19107/mimis-garden-nut-butter-balls-erdnuss-und-meersalz.auto
485,https://kokku-online.de/mimis-garden-nut-butter-balls-heidelbeere-und-mandel/,2.49 €,6.23€/100g,"Brennwert1613 kJ / 384 kcalFett13g- davon gesättigte Fettsäuren1,9gKohlenhydrate56g- davon Zucker50gEiweiß7,6gSalz0,01g",https://kokku-online.de//bilder/350x350/19108/mimis-garden-nut-butter-balls-heidelbeere-und-mandel.auto
486,https://kokku-online.de/mimis-garden-energy-balls-kakao-und-hanfsamen/,2.49 €,4.98€/100g,"Brennwert1581 kJ / 376 kcalFett14g- davon gesättigte Fettsäuren3,7gKohlenhydrate49g- davon Zucker43gEiweiß13gSalz0,08g",https://kokku-online.de//bilder/350x350/18580/mimis-garden-energy-balls-kakao-und-hanfsamen.auto
487,https://kokku-online.de/doerrwerk-pocket-size-fruchtpapier-mango-und-apfel/,1.49 €,8.28€/100g,"Brennwert1650 kJ / 394 kcalFett0,5g- davon gesättigte Fettsäuren0,2gKohlenhydrate84g- davon Zucker80gEiweiß3,1gSalz0,05g",https://kokku-online.de//bilder/350x350/18591/doerrwerk-pocket-size-fruchtpapier-mango-und-apfel.auto
488,https://kokku-online.de/doerrwerk-pocket-size-fruchtpapier-erdbeere-und-apfel/,1.49 €,8.28€/100g,"Brennwert1333 kJ / 319 kcalFett0,9g- davon gesättigte Fettsäuren0,3gKohlenhydrate63g- davon Zucker59gEiweiß3,6gSalz0,04g",https://kokku-online.de//bilder/350x350/18590/doerrwerk-pocket-size-fruchtpapier-erdbeere-und-apfel.auto
489,https://kokku-online.de/doerrwerk-fruchtpapier-mango-und-apfel/,2.99 €,7.48€/100g,"Brennwert1650 kJ / 394 kcalFett0,5g- davon gesättigte Fettsäuren0,2gKohlenhydrate84g- davon Zucker80gEiweiß3,1gSalz0,05g",https://kokku-online.de//bilder/350x350/18589/doerrwerk-fruchtpapier-mango-und-apfel.auto
490,https://kokku-online.de/pris-puddings-pop-squares-hazel-nutter/,2.29 €,5.20€/100g,Brennwert1866 kJ / 446 kcalFett25.7g- davon gesättigte Fettsäuren16gKohlenhydrate45.8g- davon Zucker13.6gEiweiß7.5gSalz<0.1g,https://kokku-online.de//bilder/350x350/17756/pris-puddings-pop-squares-hazel-nutter.auto
491,https://kokku-online.de/pris-puddings-pop-squares-cinnamon/,2.29 €,5.20€/100g,Brennwert1674 kJ / 400 kcalFett17.8g- davon gesättigte Fettsäuren14.5gKohlenhydrate53.3g- davon Zucker23.6gEiweiß6.5gSalz<0.1g,https://kokku-online.de//bilder/350x350/17755/pris-puddings-pop-squares-cinnamon.auto
492,https://kokku-online.de/fredos-fredos-popcorn-zimtig/,1.69 €,2.82€/100g,"Brennwert1467 kJ / 349 kcalFett6,3g- davon gesättigte Fettsäuren0,7gKohlenhydrate64g- davon Zucker32gEiweiß5,5gSalz0g",https://kokku-online.de//bilder/350x350/17462/fredos-fredos-popcorn-zimtig.auto
493,https://kokku-online.de/fredos-fredos-popcorn-salzig/,1.69 €,3.38€/100g,"Brennwert1643 kJ / 392 kcalFett14g- davon gesättigte Fettsäuren9,1gKohlenhydrate54g- davon Zucker0,8gEiweiß9,5gSalz3,9g",https://kokku-online.de//bilder/350x350/17460/fredos-fredos-popcorn-salzig.auto
494,https://kokku-online.de/candy-tree-bio-lutscher-erdbeere/,0.69 €,5.75€/100g,"Brennwert1545 kJ / 346 kcalFett0,3g- davon gesättigte Fettsäuren0gKohlenhydrate89,7g- davon Zucker55,1gEiweiß0,5gSalz0g",https://kokku-online.de//bilder/350x350/17665/candy-tree-bio-lutscher-erdbeere.auto
495,https://kokku-online.de/candy-tree-bio-lutscher-ahorn/,0.69 €,5.31€/100g,"Brennwert1606 kJ / 378 kcalFett0g- davon gesättigte Fettsäuren0gKohlenhydrate94,5g- davon Zucker58,3gEiweiß0gSalz0g",https://kokku-online.de//bilder/350x350/17662/candy-tree-bio-lutscher-ahorn.auto
496,https://kokku-online.de/vegablum-vlinsen-schokolinsen-minze/,4.49 €,2.99€/100g,"Brennwert1.965 kJ / 469 kcalFett20,4g- davon gesättigte Fettsäuren12,8gKohlenhydrate63,6g- davon Zucker61,0gEiweiß4,5gSalz0,01g",https://kokku-online.de//bilder/350x350/17362/vegablum-vlinsen-schokolinsen-minze.auto
497,https://kokku-online.de/vegablum-vlinsen-schokolinsen-im-glas/,4.49 €,2.99€/100g,"Brennwert1.970 kJ / 470 kcalFett20,8g- davon gesättigte Fettsäuren13,1gKohlenhydrate62,9g- davon Zucker60,3gEiweiß4,6gSalz0,01g",https://kokku-online.de//bilder/350x350/17363/vegablum-vlinsen-schokolinsen-im-glas.auto
498,https://kokku-online.de/vegablum-schoko-erdnuesse-im-glas/,4.69 €,3.13€/100g,"Brennwert2.264 kJ / 544 kcalFett33,5g- davon gesättigte Fettsäuren16,0gKohlenhydrate45,2g- davon Zucker39,4gEiweiß10,5gSalz0,01g",https://kokku-online.de//bilder/350x350/17361/vegablum-schoko-erdnuesse-im-glas.auto
499,https://kokku-online.de/heimatgut-popcorn-zimt/,2.49 €,2.77€/100g,"Brennwert1890 kJ / 450 kcalFett17g- davon gesättigte Fettsäuren14gKohlenhydrate62g- davon Zucker28gEiweiß6,6gSalz0,03g",https://kokku-online.de//bilder/350x350/17121/heimatgut-popcorn-zimt.auto
500,https://kokku-online.de/lubs-lubsies-haselnuss-nougat/,1.99 €,3.69€/100g,"Brennwert1860 kJ / 445 kcalFett21g- davon gesättigte Fettsäuren3,6gKohlenhydrate52g- davon Zucker46gEiweiß7,6gSalz0,24g",https://kokku-online.de//bilder/350x350/16748/lubs-lubsies-haselnuss-nougat.auto
501,https://kokku-online.de/lubs-lubsies-mandel-nougat/,1.99 €,3.69€/100g,"Brennwert1776 kJ / 424 kcalFett18g- davon gesättigte Fettsäuren3,0gKohlenhydrate52g- davon Zucker47gEiweiß8,9gSalz0,29g",https://kokku-online.de//bilder/350x350/16747/lubs-lubsies-mandel-nougat.auto
502,https://kokku-online.de/zotter-quadratur-des-kreises-waldbeer-kokos-mit-dattelzucker/,3.89 €,5.56€/100g,"Brennwert2370 kJ / 571 kcalFett42g- davon gesättigte Fettsäuren27gKohlenhydrate41g- davon Zucker37gEiweiß3,5gSalz0,08g",https://kokku-online.de//bilder/350x350/16294/zotter-quadratur-des-kreises-waldbeer-kokos-mit-dattelzucker.auto
503,https://kokku-online.de/candy-tree-fruchtgummi-himbeer-giraffen-schlange/,0.99 €,1.98€/100g,"Brennwert1427 kJ / 336 kcalFett0.3g- davon gesättigte Fettsäuren0.1gKohlenhydrate81,1g- davon Zucker42.1gEiweiß2gSalz0.1g",https://kokku-online.de//bilder/350x350/15986/candy-tree-fruchtgummi-himbeer-giraffen-schlange.auto
504,https://kokku-online.de/candy-tree-fruchtgummi-erdbeer-giraffen-schlange/,0.99 €,1.98€/100g,Brennwert1433 kJ / 337 kcalFett0.4g- davon gesättigte Fettsäuren0.1gKohlenhydrate81.6g- davon Zucker42.4gEiweiß1.9gSalz0.1g,https://kokku-online.de//bilder/350x350/15988/candy-tree-fruchtgummi-erdbeer-giraffen-schlange.auto
505,https://kokku-online.de/cocoa-libre-schokotaefelchen-3er-set/,6.99 €,5.83€/100g,"Brennwert2260 kJ / 539 kcalFett35,1g- davon gesättigte Fettsäuren21gKohlenhydrate45,5g- davon Zucker42,9gEiweiß5,2gSalz<1g",https://kokku-online.de//bilder/350x350/14667/cocoa-libre-schokotaefelchen-3er-set.auto
506,https://kokku-online.de/cocoa-libre-froesche-aus-schokolade-mit-orange/,2.99 €,7.48€/100g,"Brennwert2177 kJ / 520 kcalFett33,1g- davon gesättigte Fettsäuren20,7gKohlenhydrate49,4g- davon Zucker37,8gEiweiß1,9gSalz<1g",https://kokku-online.de//bilder/350x350/14668/cocoa-libre-froesche-aus-schokolade-mit-orange.auto
507,https://kokku-online.de/lubs-beeren-konfekt/,2.69 €,3.36€/100g,"Brennwert1284 kJ / 303 kcalFett0,9g- davon gesättigte Fettsäuren0,2gKohlenhydrate67,1g- davon Zucker59,3gEiweiß2,5gSalz0,07g",https://kokku-online.de//bilder/350x350/11193/lubs-beeren-konfekt.auto
509,https://kokku-online.de/birkengold-xylit-bonbons-orange-zuckerfrei/,2.49 €,8.30€/100g,"Brennwert1072 kJ / 257 kcalFett1,8g- davon gesättigte Fettsäuren1,8gKohlenhydrate93g- davon Zucker0gEiweiß0gSalz0,4g",https://kokku-online.de//bilder/350x350/10512/birkengold-xylit-bonbons-orange-zuckerfrei.auto
510,https://kokku-online.de/lubs-riegel-kakao-mandel-protein/,1.19 €,3.13€/100g,"Brennwert1754 kJ / 420 kcalFett19g- davon gesättigte Fettsäuren6,2gKohlenhydrate41g- davon Zucker37gEiweiß16gSalz0,27g",https://kokku-online.de//bilder/350x350/10818/lubs-riegel-kakao-mandel-protein.auto
511,https://kokku-online.de/lubs-riegel-spirulina-und-zitrone/,1.19 €,2.98€/100g,"Brennwert1610 kJ / 388 kcalFett17g- davon gesättigte Fettsäuren1,5gKohlenhydrate46g- davon Zucker46gEiweiß11gSalz0,16g",https://kokku-online.de//bilder/350x350/10816/lubs-riegel-spirulina-und-zitrone.auto
512,https://kokku-online.de/birkengold-xylit-kaugummi-box-zimt-natur/,2.99 €,10.68€/100g,"Brennwert764 kJ / 182 kcalFett0g- davon gesättigte Fettsäuren0gKohlenhydrate76g- davon Zucker0gEiweiß0gSalz<0,01g",https://kokku-online.de//bilder/350x350/10801/birkengold-xylit-kaugummi-box-zimt-natur.auto
513,https://kokku-online.de/birkengold-xylit-kaugummi-box-frucht-natur/,2.99 €,10.68€/100g,"Brennwert747 kJ / 180 kcalFett0g- davon gesättigte Fettsäuren0gKohlenhydrate74g- davon Zucker0gEiweiß0gSalz<0,01g",https://kokku-online.de//bilder/350x350/10799/birkengold-xylit-kaugummi-box-frucht-natur.auto
514,https://kokku-online.de/birkengold-xylit-kaugummi-box-gruene-minze-natur/,2.99 €,10.68€/100g,"Brennwert763 kJ / 183 kcalFett0g- davon gesättigte Fettsäuren0gKohlenhydrate76g- davon Zucker0gEiweiß0gSalz<0,01g",https://kokku-online.de//bilder/350x350/10800/birkengold-xylit-kaugummi-box-gruene-minze-natur.auto
515,https://kokku-online.de/birkengold-xylit-bonbons-minze/,2.49 €,8.30€/100g,"Brennwert1072 kJ / 257 kcalFett1,8g- davon gesättigte Fettsäuren1,8gKohlenhydrate95g- davon Zucker0gEiweiß0gSalz0,4g",https://kokku-online.de//bilder/350x350/10511/birkengold-xylit-bonbons-minze.auto
516,https://kokku-online.de/birkengold-edelbitter-schokolade-85-mit-xylit/,3.29 €,3.29€/100g,"Brennwert2391 kJ / 580 kcalFett51g- davon gesättigte Fettsäuren31gKohlenhydrate22g- davon Zucker0,2gEiweiß8gSalz<0,02g",https://kokku-online.de//bilder/350x350/10506/birkengold-edelbitter-schokolade-85-mit-xylit.auto
