,product,brand,price,weight,kj,kcal,fat,sat_fat,carbs,sugar,fibre,protein,salt,product_link,photo_link,brand_new,cluster,cluster_2
750,Gemüsesticks Bunte Ernte ,Guzman's Guzinos,1.99,0.045,1709.0,408.0,16.0,2.2,37.0,5.9,,23.0,1.6,https://kokku-online.de/guzmans-guzinos-gemuesesnack-mixed/,https://kokku-online.de//bilder/350x350/19124/guzmans-guzinos-gemuesesnack-mixed.auto,Other,0,2
751,Gemüsesticks Tomate ,Guzman's Guzinos,1.99,0.045,1643.0,393.0,15.0,2.1,37.0,5.6,,21.0,2.7,https://kokku-online.de/guzmans-guzinos-gemuesesnack-tomate/,https://kokku-online.de//bilder/350x350/19126/guzmans-guzinos-gemuesesnack-tomate.auto,Other,0,4
752,Gemüsesticks Paprika ,Guzman's Guzinos,1.99,0.045,1724.0,4123.0,16.0,2.2,38.0,5.7,,24.0,3.6,https://kokku-online.de/guzmans-guzinos-gemuesesnack-paprika/,https://kokku-online.de//bilder/350x350/19125/guzmans-guzinos-gemuesesnack-paprika.auto,Other,2,4
753,Kakaobohnen Peru geröstet ,Zotter,3.99,0.1,2546.0,617.0,54.0,33.0,11.0,0.6,,14.0,0.4,https://kokku-online.de/zotter-kakaobohnen-geroestet/,https://kokku-online.de//bilder/350x350/16301/zotter-kakaobohnen-geroestet.auto,Zotter,2,0
754,So Free Extra Dark 87% - Zartbitter Schokolade ,Plamil,2.89,0.08,2612.0,632.0,54.0,33.2,20.3,13.5,,10.1,0.07,https://kokku-online.de/plamil-zartbitter-schokolade-87-prozent/,https://kokku-online.de//bilder/350x350/9320/plamil-zartbitter-schokolade-87-prozent.auto,Plamil,6,0
755,Schokolade Orange ,Super Fudgio,2.49,0.08,2318.0,556.0,36.0,25.0,51.0,41.0,,3.9,0.08,https://kokku-online.de/super-fudgio-chocolate-orange/,https://kokku-online.de//bilder/350x350/8530/super-fudgio-chocolate-orange.auto,Other,2,0
756,Toffee °Cocoa Flavour° ,Super Fudgio,2.99,0.15,1610.0,383.0,12.0,11.0,61.0,54.0,,5.1,0.73,https://kokku-online.de/super-fudgio-toffee-cocoa-flavour/,https://kokku-online.de//bilder/350x350/8521/super-fudgio-toffee-cocoa-flavour.auto,Other,0,3
757,Helle Schokolade MaplePekan & Salz ,Bernsteinzimmer,6.49,0.08,2578.6,616.3,53.8,20.6,40.1,30.5,,6.49,1.0,https://kokku-online.de/bernsteinzimmer-helle-schokolade-maplepekan-und-salz/,https://kokku-online.de//bilder/350x350/9914/bernsteinzimmer-helle-schokolade-maplepekan-und-salz.auto,Bernsteinzimmer,2,0
758,Lutscher °Kirsche° ,Candy Tree,0.69,0.012,1546.0,364.0,0.2,0.0,90.1,55.4,,0.4,0.0,https://kokku-online.de/candy-tree-lutscher-kirsche/,https://kokku-online.de//bilder/350x350/4582/candy-tree-lutscher-kirsche.auto,Candy Tree,0,3
759,Mints Peppermint Lutschpastillen ,Rapunzel,2.49,0.05,1692.0,398.0,0.0,0.0,99.5,99.5,,0.0,0.01,https://kokku-online.de/rapunzel-mints-peppermint-lutschpastillen/,https://kokku-online.de//bilder/350x350/8175/rapunzel-mints-peppermint-lutschpastillen.auto,Rapunzel,0,3
760,Dunkle Schokolade °Kürbiskerne & Gewürznougat° ,Bernsteinzimmer,6.49,0.08,1958.1,577.4,27.7,16.6,40.4,36.2,,8.9,0.84,https://kokku-online.de/bernsteinzimmer-dunkle-schokolade-gewuerznougat-und-kuerbiskerne/,https://kokku-online.de//bilder/350x350/10267/bernsteinzimmer-dunkle-schokolade-gewuerznougat-und-kuerbiskerne.auto,Bernsteinzimmer,2,0
761,Toffees Fruchtmix Kaubonbons ,Candy Tree,1.99,0.075,1565.0,369.0,3.3,2.5,84.2,46.6,,0.5,0.0,https://kokku-online.de/candy-tree-toffees-fruchtmix-kaubonbons/,https://kokku-online.de//bilder/350x350/7684/candy-tree-toffees-fruchtmix-kaubonbons.auto,Candy Tree,0,3
762,Sesamini Schoko ,Rapunzel,0.59,0.027,2065.0,495.0,28.8,9.1,47.2,37.7,,8.9,0.1,https://kokku-online.de/rapunzel-sesamini-schoko/,https://kokku-online.de//bilder/350x350/7609/rapunzel-sesamini-schoko.auto,Rapunzel,2,2
763,Rumba Puffreisriegel ,Rapunzel,1.29,0.05,2208.0,530.0,33.0,20.0,51.0,36.0,,4.7,0.16,https://kokku-online.de/rapunzel-rumba-puffreisriegel/,https://kokku-online.de//bilder/350x350/7593/rapunzel-rumba-puffreisriegel.auto,Rapunzel,2,0
764,Kakao Nibs Natur ,Zotter,4.19,0.1,2546.0,617.0,54.0,33.0,11.0,0.6,,14.0,0.4,https://kokku-online.de/zotter-kakao-nibs-natur/,https://kokku-online.de//bilder/350x350/16299/zotter-kakao-nibs-natur.auto,Zotter,2,0
765,Kaugummi Icemint ,XyliGum,1.29,0.017,724.0,173.0,0.0,0.0,71.0,0.0,,0.0,0.0,https://kokku-online.de/xyli-gum-kaugummi-icemint/,https://kokku-online.de//bilder/350x350/7382/xyli-gum-kaugummi-icemint.auto,Other,0,3
766,Kaugummi Peppermint ,XyliGum,1.29,0.017,724.0,173.0,0.0,0.0,71.0,0.0,,0.0,0.0,https://kokku-online.de/xyli-gum-kaugummi-pfefferminze/,https://kokku-online.de//bilder/350x350/7381/xyli-gum-kaugummi-pfefferminze.auto,Other,0,3
767,MINI VEGO Haselnuss Schokoriegel ,Vego Chocolate,1.99,0.065,2456.0,591.0,40.8,11.4,44.6,39.3,,8.2,0.0,https://kokku-online.de/vego-chocolate-vego-whole-hazelnut-chocolate-bar-mini/,https://kokku-online.de//bilder/350x350/2454/vego-chocolate-vego-whole-hazelnut-chocolate-bar-mini.auto,Other,2,0
768,Soy Jerky Original ,Vantastic Foods,2.99,0.07,1123.0,267.0,7.1,4.9,30.0,30.0,,19.0,2.23,https://kokku-online.de/vantastic-foods-soy-jerky-original/,https://kokku-online.de//bilder/350x350/10296/vantastic-foods-soy-jerky-original.auto,Vantastic Foods,0,2
